period,contract,strategy,fastEMA,slowEMA,gross_SR,net_SR,gross_CR,net_CR,gross_cumPnL,net_cumPnL,av_ntrades,stat
2023Q1,NQ,EMA_crossover_mom,20,360,0.3079368118503311,-0.07100391191150078,0.7381634881182741,-0.14887901237610926,3278.6000000003332,-765.3999999996668,5.184615384615385,-0.0
2023Q3,NQ,EMA_crossover_mom,20,360,1.3423390564601045,0.8772748046884166,3.1540494226056985,1.9204553867070904,12349.280000000035,8161.280000000035,5.369230769230769,0.7920511095641334
2023Q4,NQ,EMA_crossover_mom,20,360,1.6663329420684023,1.1507318560074353,4.926490350461662,3.176302172292711,14794.359999999833,10390.359999999833,5.734375,1.5232841805461605
2024Q2,NQ,EMA_crossover_mom,20,360,0.013860364650565043,-0.4232318941586259,0.03433156335815653,-0.9833335374119629,151.4400000000751,-4684.559999999925,6.2,-1.4257211586007996
2024Q4,NQ,EMA_crossover_mom,20,360,0.27124958374836317,-0.13319276441082192,0.7261598106281237,-0.34259075344060164,3153.8400000007096,-1562.1599999992904,6.046153846153846,-0.282447966495424
2025Q1,NQ,EMA_crossover_mom,20,360,0.026018731060462374,-0.271231363996483,0.03756447503926335,-0.3738458059827005,307.6599999994505,-3232.3400000005495,4.682539682539683,-0.9048135205614225
2025Q2,NQ,EMA_crossover_mom,20,360,0.03859686543476509,-0.13653332537681845,0.07384131772132466,-0.24384865834580516,936.4799999996467,-3323.5200000003533,5.461538461538462,-0.7644920948046294
2023Q1,SP,EMA_crossover_mom,45,240,0.25324183355288243,-0.2207191421739603,0.5205851120671023,-0.41675449478712573,1918.6499999997977,-1693.3500000002023,4.630769230769231,-0.37960912560597276
2023Q3,SP,EMA_crossover_mom,45,240,1.2177503685611162,0.29749395984053895,2.848402983530178,0.649188361004731,5435.399999999527,1367.3999999995267,5.2153846153846155,-0.0633663931487863
2023Q4,SP,EMA_crossover_mom,45,240,1.0960777796827383,0.2580726179379348,4.125287118937484,0.8321592578208845,5199.799999999732,1251.7999999997319,5.140625,-0.05433266003382403
2024Q2,SP,EMA_crossover_mom,45,240,-0.5160522808321065,-1.27516172326802,-1.296233158473221,-2.3879963612807056,-2735.2499999999054,-6875.249999999905,5.3076923076923075,-3.422384002404646
2024Q4,SP,EMA_crossover_mom,45,240,2.8726595839001843,2.2345695746635155,18.630232979060132,13.541182447500294,17563.80000000049,13855.800000000492,4.753846153846154,4.559669836156394
2025Q1,SP,EMA_crossover_mom,45,240,-0.8068844280693614,-1.3122125917645424,-1.272580947573385,-1.9269384343950327,-5514.650000000029,-9078.650000000029,4.714285714285714,-3.997605973294586
2025Q2,SP,EMA_crossover_mom,45,240,0.10818041116800652,-0.17180955831305336,0.20973435990402023,-0.2993572378860667,1566.750000000271,-2501.249999999729,5.2153846153846155,-0.615908692697591
