quarter,sym,gross_SR,net_SR,gross_PnL,net_PnL,gross_CR,net_CR,av_daily_ntrans,stat
2023_Q1,XAU,0.0857575943218999,-0.19011274097922473,659.8000000000184,-1470.1999999999816,0.1551812100572156,-0.32299577295150445,1.595505617977528,-0.26596837790909694
2023_Q1,XAG,,,0.0,0.0,,,0.0,
2023_Q2,XAU,-1.8038657096716622,-2.1712866696608577,-9694.899999999938,-11749.899999999938,-2.8758821802393606,-3.0940718867875594,1.5393258426966292,-6.58163558313783
2023_Q2,XAG,-0.2018135590867095,-0.30139886048154296,-79.99999999999125,-119.99999999999125,-0.6510695187165043,-0.9397512864493283,0.0449438202247191,-0.0
2023_Q3,XAU,1.6052407695646955,1.0775404216765956,4973.6000000001695,3353.6000000001695,4.824771165589684,2.943650436608385,1.2134831460674158,0.6988437751384087
2023_Q3,XAG,1.6922282244532985,1.6922282244532987,2225.0000000000014,2205.0000000000014,,,0.02247191011235955,0.9427276539608082
2023_Q4,XAU,2.0663806214919354,1.7172811087062416,11856.899999999861,9876.899999999861,7.588372453857088,6.192279334018003,1.4831460674157304,2.7878156094592557
2023_Q4,XAG,2.3956004591449767,2.394934295692075,1405.0000000000118,1365.0000000000118,,,0.0449438202247191,0.5896171980805941
2024_Q1,XAU,-0.5042046490216902,-0.8187580622601516,-3229.20000000006,-5269.20000000006,-1.269880813953509,-1.8466468048359406,1.4945054945054945,-2.1916157341648117
2024_Q1,XAG,1.673320053068151,1.6733200530681511,655.0000000000011,635.0000000000011,,,0.02197802197802198,0.0
2024_Q2,XAU,-0.2909956378931048,-0.5432230981270607,-2758.000000000129,-5158.000000000129,-0.5449549071446097,-0.9839609352844,1.7582417582417582,-1.7114585138685285
2024_Q2,XAG,1.977069736817136,1.9003791780733208,6354.999999999985,6094.999999999985,5.493228611998567,5.1802181500872475,0.2857142857142857,2.5311416206296418
2024_Q3,XAU,2.8634151807194757,2.5850628583526656,22526.800000000272,20366.800000000272,14.89050477856697,11.883898897520835,1.565217391304348,6.284183717991082
2024_Q3,XAG,1.299186249835418,1.2256213204270963,4064.9999999999754,3824.9999999999754,6.552545346219991,6.068198106241533,0.2608695652173913,0.9734634264567712
2024_Q4,XAU,3.434711313634729,3.191274673472773,29483.300000000097,27443.300000000097,13.449814216584286,12.032352220939956,1.4945054945054945,8.913830210192794
2024_Q4,XAG,-1.0348769681743946,-1.1134005791476285,-1739.999999999977,-1879.999999999977,-1.9840628121878041,-2.073028619731909,0.15384615384615385,-1.0184942503561862
2025_Q1,XAU,2.3508082045564245,2.101546488793097,20718.999999999913,18543.999999999913,10.050754044146752,8.599245857931658,1.6111111111111112,4.676750032062253
2025_Q1,XAG,-0.11256251719618449,-0.16239526426013617,-90.00000000000352,-130.00000000000352,-0.373084780388165,-0.5282289464901679,0.044444444444444446,-0.0
2025_Q2,XAU,0.6685279430529523,0.5467044297635971,12753.100000000046,10443.100000000046,2.3012018511108296,1.7866692312016206,1.6923076923076923,0.10956585876663233
2025_Q2,XAG,-0.7204722985254794,-0.8637999092938253,-580.0000000000159,-700.0000000000159,-2.6596986817326598,-3.0711711711712484,0.13186813186813187,-0.0
2025_Q3,XAU,-0.25303465454837987,-0.4322906714338204,-3306.19999999999,-5661.19999999999,-0.6361133401960046,-1.018885080589735,1.7065217391304348,-1.616252562201961
2025_Q3,XAG,0.15961221063014105,0.057027558933444356,279.99999999995157,99.99999999995157,0.3642937289614105,0.1276227746815355,0.1956521739130435,-0.0
2025_Q4,XAU,2.5346696608081496,2.4346951232686607,21824.99999999995,20999.99999999995,5.734155863946115,5.465704008703449,1.8333333333333333,5.8902227129455165
2025_Q4,XAG,1.7129794814856703,1.5251693918297988,1419.9999999999593,1259.9999999999593,2.8744939271254255,2.5099601593624703,0.5333333333333333,0.2369286624247402
